contractId,infraYear,budget,ndbi_d,ndvi_d,bsi_d,change_class,confidence,flagged,reason
24OD0058,2024,85027887.13,0.0021,-0.0069,-0.004,no_change,0.993,True,completed_no_satellite_change
24CJ0378,2024,48250000.0,0.1101,-0.1688,0.1133,construction_detected,0.521,False,construction_detected
24BI0061,2024,96500000.0,-0.0053,-0.0126,-0.0071,no_change,0.987,True,completed_no_satellite_change
24AG0139,2024,96500000.0,0.0383,-0.0767,0.036,partial_construction,0.153,True,completed_minimal_construction_evidence
24CG0079,2024,46549941.34,0.0165,-0.065,0.0172,no_change,0.935,True,completed_no_satellite_change
24A00454,2024,48249696.41,0.0105,-0.0291,0.0126,no_change,0.971,True,completed_no_satellite_change
24BG0272,2024,96489983.04,-0.0714,0.0392,-0.0646,partial_construction,0.214,True,completed_minimal_construction_evidence
24HJ0071,2024,4935000.0,-0.0859,0.0683,-0.0783,partial_construction,0.258,True,completed_minimal_construction_evidence
24MB0003,2024,14644747.05,0.0095,-0.0154,0.0089,no_change,0.985,True,completed_no_satellite_change
24EI0075,2024,96497149.49,0.0132,-0.0383,0.0131,no_change,0.962,True,completed_no_satellite_change
24BI0056,2024,96500000.0,0.0282,-0.0756,0.0285,partial_construction,0.151,True,completed_minimal_construction_evidence
24JD0013,2024,14700000.0,-0.013,-0.0023,0.0105,no_change,0.987,True,completed_no_satellite_change
24A00250,2024,48248598.38,0.0549,-0.1061,0.054,partial_construction,0.212,True,completed_minimal_construction_evidence
24EB0075,2024,24499178.88,-0.0417,0.0173,-0.0328,no_change,0.958,True,completed_no_satellite_change
24MD0035,2024,48755000.0,0.0073,-0.0231,0.0107,no_change,0.977,True,completed_no_satellite_change
24KL0069,2024,96500000.0,-0.0025,-0.0037,0.0006,no_change,0.996,True,completed_no_satellite_change
24OA0005,2024,6858007.76,-0.0076,0.0067,-0.0065,no_change,0.992,True,completed_no_satellite_change
24OB0163,2024,48021560.15,-0.0154,0.0034,-0.0164,no_change,0.985,True,completed_no_satellite_change
24OC0041,2024,19599817.96,0.0047,-0.0054,-0.0018,no_change,0.995,True,completed_no_satellite_change
24OD0055,2024,4875644.24,0.0243,0.0055,0.0127,no_change,0.976,True,completed_no_satellite_change
24EA0036,2024,96495777.91,-0.0476,0.0129,-0.0407,no_change,0.952,True,completed_no_satellite_change
24ND0078,2024,98400007.99,0.0236,0.0008,0.0138,no_change,0.976,True,completed_no_satellite_change
24DE0028,2024,39200000.0,0.0147,-0.0303,0.0109,no_change,0.97,True,completed_no_satellite_change
24NB0004,2024,53074968.76,0.0404,-0.0918,0.0451,partial_construction,0.184,True,completed_minimal_construction_evidence
24OD0036,2024,84637889.92,0.0094,-0.0265,0.0075,no_change,0.974,True,completed_no_satellite_change
24OA0036,2024,49000000.0,0.0185,0.0131,0.0161,no_change,0.982,True,completed_no_satellite_change
24J00020,2024,149575000.0,0.1057,-0.1206,0.1138,partial_construction,0.176,True,completed_minimal_construction_evidence
24CK0078,2024,96478501.75,0.0785,-0.1675,0.0606,vegetation_cleared,0.261,True,completed_only_clearing_detected
24IC0083,2024,48974657.75,0.0144,0.0061,0.0115,no_change,0.986,True,completed_no_satellite_change
24FD0036,2024,96494270.23,0.0375,-0.0455,0.0279,no_change,0.955,True,completed_no_satellite_change
24CC0056,2024,98999571.9,0.0065,-0.0285,0.0092,no_change,0.972,True,completed_no_satellite_change
24FE0001,2024,118799850.0,-0.0295,0.0392,-0.0311,no_change,0.961,True,completed_no_satellite_change
24DH0020,2024,77888569.72,-0.0113,-0.0149,-0.0047,no_change,0.985,True,completed_no_satellite_change
24AF0050,2024,29693483.68,-0.022,-0.0021,-0.0219,no_change,0.978,True,completed_no_satellite_change
24DB0108,2024,19800000.0,-0.0006,-0.0098,-0.0,no_change,0.99,True,completed_no_satellite_change
24BI0051,2024,91675000.0,-0.0178,0.0069,-0.0072,no_change,0.982,True,completed_no_satellite_change
24OE0180,2024,96221240.82,-0.0004,0.0096,0.0085,no_change,0.99,True,completed_no_satellite_change
24AD0106,2024,5230581.12,-0.013,0.0055,-0.0145,no_change,0.987,True,completed_no_satellite_change
24OD0063,2024,47970672.03,0.0149,0.0011,0.0105,no_change,0.985,True,completed_no_satellite_change
24HI0002,2024,72367100.6,-0.0009,-0.0141,0.0058,no_change,0.986,True,completed_no_satellite_change
24AA0196,2024,48999619.58,0.001,-0.0515,-0.0066,no_change,0.949,True,completed_no_satellite_change
24IC0082,2024,96360299.83,0.0467,-0.1784,0.066,vegetation_cleared,0.278,True,completed_only_clearing_detected
24AI0062,2024,24468214.86,-0.0149,0.0171,-0.0153,no_change,0.983,True,completed_no_satellite_change
24IH0062,2024,9778666.23,0.0084,0.009,0.0068,no_change,0.991,True,completed_no_satellite_change
24AC0027,2024,82004907.35,0.0007,-0.0211,0.0007,no_change,0.979,True,completed_no_satellite_change
24BF0032,2024,96165781.02,-0.0276,-0.0107,-0.0241,no_change,0.972,True,completed_no_satellite_change
24BE0105,2024,144741195.0,-0.0638,-0.0417,-0.0026,partial_construction,0.191,True,completed_minimal_construction_evidence
24F00295,2024,72374521.65,0.0087,0.0233,0.0073,no_change,0.977,True,completed_no_satellite_change
24HA0027,2024,69866876.96,-0.0019,-0.0121,0.0038,no_change,0.988,True,completed_no_satellite_change
24GF0026,2024,49445882.19,-0.0763,0.0554,-0.0785,partial_construction,0.229,True,completed_minimal_construction_evidence
24DL0018,2024,4827143.98,-0.0034,-0.0015,-0.003,no_change,0.997,True,completed_no_satellite_change
24OF0133,2024,95525151.64,-0.0005,0.0059,-0.0054,no_change,0.994,True,completed_no_satellite_change
24OB0197,2024,94569857.57,0.0129,-0.0439,0.0097,no_change,0.956,True,completed_no_satellite_change
24FO0038,2024,96500000.0,0.0657,-0.0481,0.0488,partial_construction,0.197,True,completed_minimal_construction_evidence
24PM0019,2024,39200000.0,-0.0307,0.0062,-0.022,no_change,0.969,True,completed_no_satellite_change
24BH0187,2024,96500000.0,-0.0093,-0.0525,0.0007,no_change,0.948,True,completed_no_satellite_change
24EB0072,2024,9760904.14,-0.0096,0.0003,-0.0066,no_change,0.99,True,completed_no_satellite_change
24H00080,2024,57899971.69,-0.0035,-0.0082,-0.0033,no_change,0.992,True,completed_no_satellite_change
24HK0056,2024,144750000.0,0.0632,-0.0736,0.0658,partial_construction,0.19,True,completed_minimal_construction_evidence
24BH0207,2024,96500000.0,-0.0292,-0.0383,-0.0174,no_change,0.962,True,completed_no_satellite_change
24CF0031,2024,20168228.34,-0.0059,-0.0457,-0.0234,no_change,0.954,True,completed_no_satellite_change
24CI0027,2024,19576592.61,-0.0285,0.0092,-0.0257,no_change,0.972,True,completed_no_satellite_change
24IC0063,2024,96414342.2,0.0229,-0.0764,0.0358,partial_construction,0.153,True,completed_minimal_construction_evidence
24FA0021,2024,49000000.0,0.0099,-0.009,0.0058,no_change,0.99,True,completed_no_satellite_change
24DF0001,2024,29400000.0,-0.0082,0.0094,-0.0062,no_change,0.991,True,completed_no_satellite_change
24CM0027,2024,48999585.54,0.0005,0.0075,0.0005,no_change,0.993,True,completed_no_satellite_change
24DH0035,2024,96499165.86,0.0538,-0.0572,0.0467,partial_construction,0.161,True,completed_minimal_construction_evidence
24CE0169,2024,9800000.0,-0.0177,0.0513,-0.0198,no_change,0.949,True,completed_no_satellite_change
24EB0101,2024,96494249.47,-0.04,0.0543,-0.04,no_change,0.946,True,completed_no_satellite_change
24HE0162,2024,89100000.0,0.0084,-0.0256,0.0094,no_change,0.974,True,completed_no_satellite_change
24ED0020,2024,48999995.96,-0.0484,0.0513,-0.0534,no_change,0.949,True,completed_no_satellite_change
24OH0058,2024,28936681.15,-0.0187,-0.0356,-0.0284,no_change,0.964,True,completed_no_satellite_change
24II0074,2024,29300446.86,0.016,0.1416,0.01,partial_construction,0.283,True,completed_minimal_construction_evidence
24HA0002,2024,52974619.82,0.0045,-0.0145,0.0068,no_change,0.986,True,completed_no_satellite_change
24OH0020,2024,39197819.94,0.0244,0.0215,0.0217,no_change,0.976,True,completed_no_satellite_change
24F00205,2024,135099987.24,0.0111,-0.0441,0.0224,no_change,0.956,True,completed_no_satellite_change
24BH0013,2024,62722599.34,-0.0754,0.0533,-0.0772,partial_construction,0.226,True,completed_minimal_construction_evidence
24OE0098,2024,4898821.31,0.0053,0.0111,0.0025,no_change,0.989,True,completed_no_satellite_change
24CB0063,2024,28950000.0,0.0112,-0.0616,0.0183,no_change,0.938,True,completed_no_satellite_change
24FA0024,2024,82314500.0,0.0212,-0.0285,0.0139,no_change,0.972,True,completed_no_satellite_change
24AF0120,2024,94560128.59,-0.0164,-0.0116,-0.0165,no_change,0.984,True,completed_no_satellite_change
24EG0036,2024,17029313.08,0.0429,-0.0996,0.0435,partial_construction,0.199,True,completed_minimal_construction_evidence
24CE0018,2024,95533042.22,0.0101,-0.0402,0.0124,no_change,0.96,True,completed_no_satellite_change
24EI0074,2024,48997656.29,0.0209,-0.0127,0.0169,no_change,0.979,True,completed_no_satellite_change
24GG0148,2024,33958511.47,0.1099,0.1192,0.1302,partial_construction,0.183,True,completed_minimal_construction_evidence
24LB0100,2024,59400000.0,0.0282,-0.0532,0.0327,no_change,0.947,True,completed_no_satellite_change
24FD0003,2024,67549956.01,0.0004,-0.0116,0.0022,no_change,0.988,True,completed_no_satellite_change
